profile,follower
30803,131344754
29450,3616027
29450,3646393
29450,3899301
29450,4035438
30686,115110
30686,172162
30686,189699
30686,205144
30686,208292
30686,263104
30686,265655
30686,331612
30686,349663
30988,59653
30686,400754
30686,408626
30686,411094
30686,455282
30686,480602
30686,738537
30686,973740
31046,90410
30686,1061675
30686,1067305
30686,1151018
30686,1286706
30686,1305762
31046,1045769
31046,24302415
30988,325300
30686,2079158
29450,7501304
31198,62233621
29450,7570600
30686,2362180
30686,2504227
29450,7845563
30686,3271839
30686,3512522
30686,3602761
30686,4926732
30988,541785
30686,5586704
30686,7440708
30686,8030192
31198,115065374
29450,9745399
30988,804983
29450,10631248
30686,32111180
29450,11104219
29450,11252938
30686,74947059
30686,259076504
29450,13323255
31198,243137436
31401,4368587
31401,7355913
31656,1861848
31656,74947059
31401,189838318
31439,848107
31439,39642916
31439,194821572
29450,16241943
31827,82748
31879,51537
31827,718304
31827,832823
31879,244600
31879,256708
31827,1198299
31827,1387212
31827,1450493
31827,1538925
31827,2050192
31879,2446377
31879,2467244
31879,2855994
31879,7908736
31879,15179588
31879,28881416
31879,53445711
31879,122084594
31879,184316653
31827,10168019
31198,419101381
31198,420203758
31974,13442221
29450,27772427
31878,668640
31878,804029
31878,1203681
31878,1675754
29450,30695553
29450,31427561
31878,3417370
31878,7397650
31878,8563110
31878,18762610
31878,24387165
32538,252297
31878,57673406
32538,275692
32538,514033
31878,92212698
31878,147469597
31878,168480018
31878,170045070
31878,222653106
31878,296212186
32545,159438
32538,9455481
32662,356046
32545,366399
32662,1023706
32545,1881994
32662,17089789
32545,24481476
33155,46778
32736,31714628
33155,69795
32736,63002267
32736,115263381
33155,159438
33155,163254
33155,259689
33155,269757
29450,47033331
29450,48349570
29450,49029331
33971,43519
33971,157337
33971,161835
33971,265655
33971,290188
33971,328041
29450,62870354
33971,523488
34095,55190
34095,128308
34095,182195
34095,421700
35574,274597
34932,200632
34932,334335
35011,37328
34095,5839896
35011,38176
35956,282084
35956,327999
35956,338952
34932,878593
35213,157069
35956,2617141
35956,3871998
34095,20588838
34095,21446751
34932,2818498
35956,5854229
35956,7049172
35956,15835662
34095,45493596
29450,133784592
29450,136716374
29450,136768077
29450,137615183
29450,137824189
29450,151233131
29450,153937236
35011,419531
34932,53685845
35011,634757
35011,878593
34095,136716374
36538,2914407
36538,7790863
36538,169486357
35011,1923543
35011,2247801
34095,202182680
34095,244649216
35011,74947059
35011,145729994
29450,156743837
29450,157617733
36606,56965
36606,67529
36606,157337
36606,250796
36606,309575
36606,310213
36606,320393
36606,339275
29450,166128329
36606,554801
36606,603153
36606,890543
36606,1075358
36606,1161631
36606,1218323
36606,1397197
36606,1540896
36606,3101304
36606,3782707
36606,6809237
36606,18440272
36606,38172519
29450,178933293
36830,252842
36830,386369
34095,354198271
37121,365700
37121,4757027
37328,362344
37121,36140546
37121,65389718
37428,142738
37328,1097103
37328,1230126
37742,84975
37742,92131
37428,269572
37962,59445
37742,166896
37962,69637
37962,74111
37742,195806
37742,254781
37742,342123
37742,370019
37962,215563
37742,577096
37962,243131
37121,166017030
37121,174205210
37742,1353574
37428,1893433
37742,2488667
37121,257664080
37962,607548
29450,187951183
29450,193153828
29450,198062273
37742,4198536
37328,14204272
37742,5831925
37742,9731053
37962,780111
37428,44329564
37742,27025289
37742,52625103
37742,65396893
29450,204253180
37962,1451184
37962,2657311
37962,3908089
38176,184932
37962,6849947
37962,7720700
37962,14305281
38176,1040720
38176,1658439
29450,294452006
39341,417218
38918,138980
38918,163677
39341,448656
38714,265655
38714,674186
39341,1375199
39499,1789934
39722,118470
39387,197383
39722,601405
39341,5651596
40108,190307
39341,11433757
39722,75289793
39305,265295201
38682,93310
39722,191391919
38918,5564561
40108,2182412
40108,4906606
39341,41879948
39387,1878156
40393,347539
39341,135651165
38682,169970
38682,171705
39499,257969751
40393,20350119
41323,43018
41323,638976
41323,45982673
38682,951806
40424,171894
40424,178780
41637,2928104
41637,3867313
41611,69482
41117,7119176
40424,392904
41611,199821
41917,203619
41917,922812
42040,83202
42040,192339
42468,190674
41611,416954
42468,346536
42040,542660
41611,501579
41917,20537529
42468,1035729
42824,74111
42468,2015203
41814,4906606
42468,2818498
41814,27778058
42468,14204272
41611,36554495
42468,19225767
42468,36935303
41611,208000792
42040,51070915
42468,74947059
42468,100501652
42824,3800284
42040,74947059
42824,7920701
42468,165344324
42040,147039263
42468,337443874
42040,205282923
43018,56730
43150,5208736
43018,9088813
43169,83154
38682,6379815
38682,7467400
43169,4913738
43169,6779536
44256,936339
43169,7319793
44256,18101878
44084,155311
44347,7431765
44084,465054
44483,128308
43519,183616
44375,4318064
44084,2232541
43541,2175961
43541,8656833
43541,25451743
44084,20198927
44819,88396
44483,365072
44483,398246
44819,563578
44819,621028
44483,864879
44483,878593
45363,130443
45686,262643
44483,1298666
44483,1571359
44483,1586799
44483,1590322
45914,1713846
45686,1417220
44483,2415495
44483,4023239
46163,139767
46163,172162
46163,269356
46163,331612
46163,397415
45686,139712203
44819,184327303
46163,1595730
46163,4926732
46163,5409659
46163,12296279
46163,101618018
44930,318797841
44483,17943461
46309,769670
46309,770961
44483,31385959
44483,42254296
47157,354685
46943,258789
47157,1277072
47157,2467244
44483,156743837
46943,2963482
47376,1859948
47443,387132
47443,524377
47443,746024
47530,408451
47530,6493585
47443,74947059
47443,100105463
47530,16924750
48205,630091
48205,40676684
48229,73941
48229,92131
48229,285415
49085,65765
49085,155786
48229,1385753
48229,2914407
49085,2604665
49756,66380
49756,66597
50242,173249
50254,79162
50334,314829
50326,573752
50334,459507
50334,537085
50334,734519
50334,965561
49756,21906605
50254,2420395
50334,1408939
50576,87961
49756,107303922
50576,101265
49756,167566586
50334,20421143
50334,22524632
50334,22754011
50334,74947059
50576,162618
50576,166896
50576,206876
51362,189282
50576,341366
51362,289370
50590,66380
51362,428876
50576,540489
51362,1063270
50590,281654
51362,47676156
50576,217349329
50814,3059718
50814,3679140
50814,4193632
50814,11152725
51573,69482
51573,137085
51572,403941
51537,192065
51573,306326
51967,61869
51572,1768214
51967,92380
51860,395171
51967,137231
51537,308854
51573,558616
50814,36272643
51572,53695161
51860,3163559
51572,249257824
51860,8878606
52990,1625303
52990,2755967
52990,5391308
52217,69795
51537,420906
52990,10217168
51573,1893014
51573,1934529
51573,2612788
52990,101369618
52653,265655
51967,662794
52217,269757
52653,809551
53439,66967
51573,7622472
53439,92131
50814,161759123
51967,916882
51573,12908896
53439,210997
51967,1083868
52653,3375903
50814,197213877
50814,443723499
51967,1119519
53831,271527
53831,308654
53831,808412
51967,1923543
53439,692518
51573,155643157
53194,18022885
52217,821038
51967,4329214
51967,4505065
53439,870419
55165,107210
55165,573752
52217,1394676
52217,1432262
52217,1541669
53439,1151018
55165,2262111
51537,25160201
52217,1973781
52217,2182412
51967,12618333
55165,3650734
55165,4263911
55165,12145976
51967,16241943
55302,92749
55302,166896
55302,209112
55302,265655
53439,1545365
55165,16008528
53439,1592139
55302,363207
53831,136894558
53439,1621534
55190,417218
55302,554801
55302,740609
53439,1947278
55302,898148
55302,1080133
55302,1206684
55302,1345562
55302,1386636
53439,2191110
55302,1612227
53831,258190255
55302,2374452
55302,2542704
55302,3071413
55302,3094462
55302,3386509
55302,3640844
55302,6234892
51537,74947059
55302,10470796
53439,5071490
55302,17669041
55165,187322408
55165,190559674
